,Unnamed: 0.1,Unnamed: 0,RankingList,Filename,index,Role,Standardized Role,job_function,Company,min_salary,max_salary,other_compensation,degree_level,field_of_study,certifications_training,skill,description,learning_objective,confidence,cluster,hierarchy,isSpecialized,type,isBusiness,combined,new_embeds,predicted_cluster,cluster_label,IQ_INDUSTRY_CLASSIFICATION,IQ_INDUSTRY_GROUP,Overall % from Aspirations,Industry Count,Industry Importance,Impact score,Personal Growth score,Leadership Development score,Challenges score,Overall % from Motivations,Normalized Overall % from Aspirations,Normaized Industry Importance,Normalized Overall % from Motivations,Combined Normalized Overall % from Aspirations and Motivations,Combined Normalized Industry Importance and Overall % from Motivations,Open Positions,Mean Industry Importance Score
0,0,0,Companies In India,job_result_2_90.txt,0,Head - Brand and Communications,Head of Brand and Communications,Sales & Marketing,Skyroot Aerospace,Not specified,Not specified,Not specified,Bachelor's or Master's degree,"Communications, Public Relations, or a related field",Not specified,Strategic Communication,Develop and execute comprehensive communication strategies aligned with Skyroot's goals and objectives.,"Given a set of company goals, develop a comprehensive communication strategy that aligns with those goals.",0.9,Communication Strategy,Root,1.0,Must_Have,0,"Role: Head of Brand and Communications; Skills: Strategic Communication; Learning Objectives: Given a set of company goals, develop a comprehensive communication strategy that aligns with those goals","[-0.02280091 -0.00272273 -0.00755017 ... -0.00259047 -0.01444807
 -0.02276876]",4,Marketing and Sales,Industrials,Capital Goods,0.2735,539,147.4165,0.0,0.0,0.0,0.0,0.0,0.5868456375838927,0.7726859685071505,0.0,0.5868456375838927,0.7726859685071505,4,0.7726859685071505
1,1,1,Companies In India,job_result_9_70.txt,1,COMPOSITE MANUFACTURING ENGINEER – ROCKET STRUCTURES,COMPOSITE MANUFACTURING ENGINEER ROCKET STRUCTURES,Engineering,Skyroot Aerospace,Not specified,Not specified,Not specified,Bachelor's,Engineering or related field,Not specified,Supply Chain Management,Understanding of supply chain management principles for composite manufacturing.,"Given a composite manufacturing scenario, the learner will be able to explain supply chain management principles effectively.",0.6,Operations Management,Root -> Operations Management -> Supply Chain Management,0.0,Implied,0,"Role: COMPOSITE MANUFACTURING ENGINEER ROCKET STRUCTURES; Skills: Supply Chain Management; Learning Objectives: Given a composite manufacturing scenario, the learner will be able to explain supply chain management principles effectively","[-0.02353648  0.00997277  0.00244241 ...  0.00693001 -0.00793993
 -0.01518508]",10,Operational Excellence,Industrials,Capital Goods,0.2735,539,147.4165,0.0,0.0,0.0,0.0,0.0,0.5868456375838927,0.7726859685071505,0.0,0.5868456375838927,0.7726859685071505,4,0.7726859685071505
2,2,2,Companies In India,job_result_5_90.txt,2,Business Development Associate,Business Development Associate,Business Research,Skyroot Aerospace,Not specified,Not specified,"Seamless transportation, nourishing meals, and elevated wellbeing",Bachelor's degree,"Business, Law, or a related field","Advanced degrees (MBA, JD) preferred",Adaptability,Demonstrate adaptability in a fast-paced environment,Respond to changing circumstances and priorities,0.6,Personal Skills,Child,0.0,Implied,1,Role: Business Development Associate; Skills: Adaptability; Learning Objectives: Respond to changing circumstances and priorities,"[-0.03590036 -0.01897847  0.0242     ... -0.02517208 -0.02681375
 -0.01389004]",5,Business Development,Industrials,Capital Goods,0.2735,539,147.4165,0.0,0.0,0.0,0.0,0.0,0.5868456375838927,0.7726859685071505,0.0,0.5868456375838927,0.7726859685071505,4,0.7726859685071505
3,3,3,Companies In India,job_result_8_80.txt,3,Business Development Associate,Business Development Associate,Business Research,Skyroot Aerospace,Not specified,Not specified,"Seamless transportation, nourishing meals, and elevated wellbeing",Bachelor's degree,"Business, Law, or a related field","Advanced degrees (MBA, JD) preferred",Data Visualization,Present complex data in a clear and concise manner,Develop data visualization skills to inform business decisions,0.8,Data Analysis,Data Visualization,1.0,Nice_to_Have,1,Role: Business Development Associate; Skills: Data Visualization; Learning Objectives: Develop data visualization skills to inform business decisions,"[-0.03188406 -0.01643923  0.02211966 ... -0.02348154 -0.02366962
 -0.01363972]",5,Business Development,Industrials,Capital Goods,0.2735,539,147.4165,0.0,0.0,0.0,0.0,0.0,0.5868456375838927,0.7726859685071505,0.0,0.5868456375838927,0.7726859685071505,4,0.7726859685071505
4,4,4,Companies In India,job_result_7_90.txt,4,Hindustan Times - Manager - B2B SaaS Sales,Manager B2B SaaS Sales,Sales & Marketing,Hindustan Times,Not specified,Not specified,Not specified,Bachelor's,Any,Not specified,Time Management,Ability to manage time effectively,Develop time management skills,0.5,Soft Skills,Root,0.0,Implied,0,Role: Manager B2B SaaS Sales; Skills: Time Management; Learning Objectives: Develop time management skills,"[-0.02435733 -0.02159681  0.01879687 ... -0.01799881 -0.01624409
  0.00715299]",5,Business Development,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
5,5,5,Companies In India,job_result_2_80.txt,5,Senior Product Manager ( 5+ yrs ) - Hindustan Times - Delhi,Senior Product Manager,Product Management,Hindustan Times,150000,200000,Stock options and bonuses,Bachelor's,Computer Science,Product Management certification,Time Management,Prioritize tasks to meet deadlines,Optimize task allocation for efficient time usage,0.7,Time Management,Product Management,0.0,Implied,0,Role: Senior Product Manager; Skills: Time Management; Learning Objectives: Optimize task allocation for efficient time usage,"[-0.01505771 -0.01389494  0.00590792 ...  0.00199153 -0.01517315
 -0.01179766]",1,Product Management,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
6,6,6,Companies In India,job_result_8_80.txt,6,Product Manager - Stock Markets and Personal Finance - Hindustan Times,Product Manager,Product Management,Hindustan Times,80000,120000,Stock options and bonuses,Bachelor's,Computer Science,Product management certification,Agile Methodologies,Implementing agile methodologies in product development,"Given product requirements, implement agile methodologies",0.8,Agile Methodologies,Child,0.0,Nice_to_Have,0,"Role: Product Manager; Skills: Agile Methodologies; Learning Objectives: Given product requirements, implement agile methodologies","[-0.0181136  -0.01337431  0.00502384 ...  0.00478077 -0.00897678
 -0.01249489]",1,Product Management,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
7,7,7,Companies In India,job_result_6_80.txt,7,Hindustan Times - Regional Manager - Enterprise Sales ...,Regional Manager Enterprise Sales,Sales & Marketing,Hindustan Times,Not specified,Not specified,Not specified,Top Tier MBA,Not specified,Not specified,Adaptability,Ability to adapt to changing circumstances,"Given a changing circumstance, the candidate will be able to adapt.",0.5,Soft Skills,Child of Communication,0.0,Implied,1,"Role: Regional Manager Enterprise Sales; Skills: Adaptability; Learning Objectives: Given a changing circumstance, the candidate will be able to adapt","[-0.02351143 -0.02665579  0.01774952 ... -0.01015617 -0.01729442
 -0.00862698]",5,Business Development,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
8,8,8,Companies In India,job_result_9_90.txt,8,Hindustan Times - Equity Dealer (7-10 yrs),Equity Dealer,Finance,Hindustan Times,700000,1200000,Bonuses and stock options,Bachelor's,Finance or related field,CA/CFA/MBA preferred,Leadership,Ability to lead and motivate teams to achieve goals.,"Given a team, the candidate will be able to lead and motivate them to achieve goals.",0.7,Soft Skills,Leadership > Team Management > Goal Setting,0.0,Implied,1,"Role: Equity Dealer; Skills: Leadership; Learning Objectives: Given a team, the candidate will be able to lead and motivate them to achieve goals","[-0.02832444 -0.02153949  0.00604818 ... -0.00501619 -0.0027031
 -0.01698253]",6,Banking,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
9,9,9,Companies In India,job_result_4_90.txt,9,Hindustan Times - Group Head  - AVP Sales - Print Business,Group Head AVP Sales Print Business,Sales & Marketing,Hindustan Times,Not specified,Not specified,Not specified,Postgraduate or MBA,Not specified,Not specified,Market Research,Analyse the optimum category mix for best returns,"Given a market research scenario, analyse the optimum category mix",0.6,Market Analysis,root,0.0,Nice_to_Have,1,"Role: Group Head AVP Sales Print Business; Skills: Market Research; Learning Objectives: Given a market research scenario, analyse the optimum category mix","[-0.03586222 -0.01830573  0.00562289 ... -0.02561746 -0.01859927
 -0.00042557]",5,Business Development,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
10,10,10,Companies In India,job_result_7_80.txt,10,Product Manager - Cricket Platform - Hindustan Times,Product Manager,Product Management,Hindustan Times,₹800000,₹1200000,Stock options and performance-based bonuses,Bachelor's,Computer Science or Engineering,Product management certifications or equivalent experience,Collaboration Tools,Proficiency in collaboration tools and software,Effectively utilize collaboration tools to facilitate team workflows,0.6,Digital Literacy,Child,0.0,Implied,0,Role: Product Manager; Skills: Collaboration Tools; Learning Objectives: Effectively utilize collaboration tools to facilitate team workflows,"[-0.01934186 -0.01165763  0.00895815 ...  0.00546955 -0.00813835
 -0.01754104]",1,Product Management,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
